neighbourhood_cleansed,latitude,longitude,property_type,room_type,price,number_of_reviews,review_scores_rating
Jamaica Plain,42.31299,-71.11876,Entire rental unit,Entire home/apt,171,170,4.98
South End,42.34566,-71.07433,Entire rental unit,Entire home/apt,285,187,4.99
Roxbury,42.32852,-71.09581,Entire rental unit,Entire home/apt,149,159,4.72
Dorchester,42.317,-71.05662,Private room in rental unit,Private room,40,13,4.58
Dorchester,42.31099,-71.06372,Private room in residential home,Private room,43,72,4.69
Chinatown,42.34903,-71.062,Entire rental unit,Entire home/apt,300,171,4.75
Chinatown,42.3503,-71.06037,Entire rental unit,Entire home/apt,300,135,4.76
Chinatown,42.34835,-71.06039,Entire rental unit,Entire home/apt,125,208,4.83
South End,42.34351,-71.06889,Entire rental unit,Entire home/apt,350,229,4.96
Chinatown,42.34986,-71.06197,Entire rental unit,Entire home/apt,160,144,4.86
Dorchester,42.3205,-71.06521,Entire rental unit,Entire home/apt,160,128,4.49
South End,42.33944,-71.07532,Entire loft,Entire home/apt,255,23,4.95
South End,42.33959,-71.08015,Entire rental unit,Entire home/apt,223,181,4.92
Fenway,42.3461,-71.0877,Entire rental unit,Entire home/apt,175,1,5
Charlestown,42.38376,-71.07707,Private room in rental unit,Private room,54,5,4.4
Dorchester,42.30656,-71.07173,Private room in rental unit,Private room,32,9,5
Roxbury,42.33025,-71.0871,Entire residential home,Entire home/apt,615,119,4.77
Roxbury,42.31333,-71.09339,Private room in rental unit,Private room,36,0,
North End,42.36393,-71.05223,Entire condominium (condo),Entire home/apt,102,14,5
Jamaica Plain,42.29973,-71.11618,Entire rental unit,Entire home/apt,82,22,4.45
Dorchester,42.28901,-71.06819,Private room in residential home,Private room,79,80,4.98
Brighton,42.36082,-71.13654,Private room in residential home,Private room,70,107,4.62
South Boston,42.33591,-71.04813,Private room in rental unit,Private room,80,4,3.75
South Boston,42.342,-71.05282,Entire residential home,Entire home/apt,464,201,4.87
Dorchester,42.28964,-71.06607,Private room in rental unit,Private room,35,3,4.67
Dorchester,42.30133,-71.0648,Entire rental unit,Entire home/apt,100,0,
Mission Hill,42.32938,-71.11024,Private room in rental unit,Private room,65,77,4.66
Roxbury,42.32807,-71.09557,Entire rental unit,Entire home/apt,143,98,4.68
South End,42.34413,-71.07605,Entire rental unit,Entire home/apt,159,40,4.73
Roxbury,42.31343,-71.09345,Private room in rental unit,Private room,36,0,
East Boston,42.37642,-71.03784,Private room in residential home,Private room,118,529,4.9
South End,42.34218,-71.079,Entire rental unit,Entire home/apt,200,1,5
Dorchester,42.30403,-71.07564,Private room in townhouse,Private room,39,2,5
Back Bay,42.34981,-71.08263,Entire rental unit,Entire home/apt,166,228,4.73
Dorchester,42.28897,-71.06613,Entire rental unit,Entire home/apt,195,73,4.95
Brighton,42.34133,-71.14605,Entire rental unit,Entire home/apt,150,3,5
Roslindale,42.27708,-71.1337,Private room in residential home,Private room,60,85,4.86
Brighton,42.35395,-71.16776,Private room in condominium (condo),Private room,75,115,4.7
South End,42.34492,-71.06949,Entire condominium (condo),Entire home/apt,298,37,5
Roxbury,42.31337,-71.09339,Private room in rental unit,Private room,36,1,5
Jamaica Plain,42.3196,-71.1044,Private room in condominium (condo),Private room,70,12,4.92
East Boston,42.3748,-71.03803,Private room in residential home,Private room,114,583,4.88
East Boston,42.37441,-71.03809,Private room in residential home,Private room,114,475,4.88
East Boston,42.37612,-71.03807,Private room in residential home,Private room,116,475,4.93
Back Bay,42.35318,-71.07904,Entire rental unit,Entire home/apt,150,132,4.83
Dorchester,42.29189,-71.0574,Private room in residential home,Private room,75,92,4.79
Downtown,42.35553,-71.05674,Entire serviced apartment,Entire home/apt,353,151,4.73
Dorchester,42.31778,-71.05794,Private room in residential home,Private room,55,79,4.41
Roxbury,42.31737,-71.09498,Private room in condominium (condo),Private room,40,8,5
Beacon Hill,42.35974,-71.06698,Entire rental unit,Entire home/apt,238,155,4.77
South Boston Waterfront,42.34534,-71.04232,Entire rental unit,Entire home/apt,118,5,0
Beacon Hill,42.35782,-71.06975,Entire rental unit,Entire home/apt,145,2,4
Dorchester,42.29402,-71.06196,Private room in residential home,Private room,66,509,4.98
Dorchester,42.28266,-71.05867,Private room in rental unit,Private room,110,3,5
East Boston,42.39031,-71.00178,Private room in residential home,Private room,50,0,
East Boston,42.38917,-71.00362,Private room in residential home,Private room,50,4,4
South End,42.34125,-71.06522,Entire rental unit,Entire home/apt,157,6,5
Jamaica Plain,42.31681,-71.10264,Entire rental unit,Entire home/apt,180,18,4.5
South Boston,42.33029,-71.05671,Entire condominium (condo),Entire home/apt,220,3,5
West Roxbury,42.29486,-71.15989,Entire residential home,Entire home/apt,128,14,4.93
Roxbury,42.32963,-71.09517,Private room in residential home,Private room,78,223,4.72
Roxbury,42.33143,-71.09368,Private room in residential home,Private room,78,210,4.66
Roxbury,42.33138,-71.09336,Private room in residential home,Private room,78,149,4.52
Roslindale,42.27801,-71.13446,Private room in rental unit,Private room,70,68,4.71
Brighton,42.35418,-71.16776,Private room in condominium (condo),Private room,70,147,4.73
Brighton,42.35401,-71.16776,Private room in condominium (condo),Private room,80,61,4.72
Brighton,42.35401,-71.16776,Private room in rental unit,Private room,75,77,4.71
Brighton,42.35457,-71.16684,Private room in condominium (condo),Private room,70,44,4.95
Roxbury,42.3165,-71.09563,Private room in condominium (condo),Private room,45,8,4.43
Roxbury,42.32994,-71.0933,Private room in residential home,Private room,78,136,4.56
Roxbury,42.32982,-71.09304,Private room in residential home,Private room,78,177,4.58
Charlestown,42.38423,-71.07821,Entire residential home,Entire home/apt,275,153,4.78
Dorchester,42.32458,-71.05999,Private room in rental unit,Private room,75,0,
Allston,42.3534,-71.13544,Private room in rental unit,Private room,50,27,4.59
South End,42.34524,-71.07793,Entire rental unit,Entire home/apt,184,3,4.5
Dorchester,42.31778,-71.05794,Private room in residential home,Private room,55,90,4.4
Dorchester,42.30925,-71.06365,Private room in residential home,Private room,49,17,4.76
South Boston Waterfront,42.34867,-71.0435,Entire rental unit,Entire home/apt,490,12,4.33
Back Bay,42.34987,-71.08597,Entire rental unit,Entire home/apt,192,93,4.4
Back Bay,42.34774,-71.08587,Entire rental unit,Entire home/apt,192,67,4.46
Back Bay,42.34762,-71.08477,Entire rental unit,Entire home/apt,178,70,4.51
Back Bay,42.34854,-71.08413,Entire rental unit,Entire home/apt,215,91,4.6
South Boston,42.34144,-71.05722,Entire rental unit,Entire home/apt,146,83,4.45
Back Bay,42.34824,-71.08398,Entire rental unit,Entire home/apt,178,121,4.56
East Boston,42.37957,-71.04049,Entire condominium (condo),Entire home/apt,230,9,5
South Boston,42.34155,-71.05625,Entire rental unit,Entire home/apt,146,89,4.5
South Boston,42.3429,-71.05759,Entire rental unit,Entire home/apt,146,58,4.34
Downtown,42.35203,-71.06288,Entire rental unit,Entire home/apt,168,46,4.61
Jamaica Plain,42.30308,-71.13398,Entire residential home,Entire home/apt,500,8,4.88
South Boston,42.34221,-71.05507,Entire rental unit,Entire home/apt,200,13,4.62
Dorchester,42.29366,-71.06422,Private room in residential home,Private room,70,442,4.99
Dorchester,42.31089,-71.06177,Private room in residential home,Private room,39,37,4.92
Dorchester,42.31343,-71.05495,Private room in condominium (condo),Private room,66,116,4.75
Dorchester,42.31069,-71.06387,Private room in residential home,Private room,39,40,4.78
Charlestown,42.37579,-71.04981,Boat,Entire home/apt,266,73,4.82
Fenway,42.34676,-71.08989,Entire rental unit,Entire home/apt,192,17,4.57
Jamaica Plain,42.30676,-71.11278,Entire condominium (condo),Entire home/apt,180,5,5
Roxbury,42.31343,-71.0935,Private room in rental unit,Private room,36,2,5
East Boston,42.3798,-71.0347,Entire rental unit,Entire home/apt,267,240,4.85
East Boston,42.38832,-71.00145,Private room in rental unit,Private room,50,1,5
West Roxbury,42.27594,-71.15044,Entire rental unit,Entire home/apt,60,0,
Back Bay,42.34983,-71.08993,Private room in rental unit,Private room,60,9,3.56
West Roxbury,42.27949,-71.16133,Private room in guest suite,Private room,74,31,4.9
Roslindale,42.28316,-71.1384,Entire rental unit,Entire home/apt,95,76,4.92
Beacon Hill,42.35762,-71.07006,Entire rental unit,Entire home/apt,192,87,4.3
Beacon Hill,42.3588,-71.07011,Entire rental unit,Entire home/apt,192,94,4.73
Beacon Hill,42.35816,-71.07191,Entire rental unit,Entire home/apt,192,103,4.46
Beacon Hill,42.3593,-71.07004,Entire rental unit,Entire home/apt,178,97,4.56
Beacon Hill,42.35956,-71.07184,Entire rental unit,Entire home/apt,169,89,4.55
Beacon Hill,42.35757,-71.06979,Entire rental unit,Entire home/apt,169,93,4.74
Beacon Hill,42.35947,-71.07005,Entire rental unit,Entire home/apt,175,99,4.74
Beacon Hill,42.35957,-71.07118,Entire rental unit,Entire home/apt,169,66,4.65
East Boston,42.37515,-71.03315,Private room in rental unit,Private room,72,507,4.72
Roslindale,42.28427,-71.14078,Private room in residential home,Private room,40,28,4.64
Jamaica Plain,42.31606,-71.11343,Entire rental unit,Entire home/apt,70,14,4.85
Allston,42.35143,-71.13061,Entire rental unit,Entire home/apt,160,1,5
Roxbury,42.32934,-71.06927,Entire rental unit,Entire home/apt,139,38,4.22
Fenway,42.34037,-71.08871,Entire rental unit,Entire home/apt,162,10,4.3
Downtown,42.35161,-71.06457,Entire rental unit,Entire home/apt,200,204,4.81
Mission Hill,42.33217,-71.1017,Private room in residential home,Private room,100,57,4.75
Brighton,42.35272,-71.1643,Private room in rental unit,Private room,36,0,
West Roxbury,42.27975,-71.16035,Private room in guest suite,Private room,72,21,4.95
Dorchester,42.29031,-71.06681,Entire rental unit,Entire home/apt,97,102,4.67
Mattapan,42.27861,-71.09858,Private room in residential home,Private room,50,98,4.72
Brighton,42.35397,-71.16775,Private room in rental unit,Private room,80,90,4.74
Jamaica Plain,42.31387,-71.10864,Entire guest suite,Entire home/apt,93,53,4.94
Fenway,42.3494,-71.09566,Entire rental unit,Entire home/apt,250,194,4.7
Fenway,42.34633,-71.10317,Entire place,Entire home/apt,185,89,4.99
Charlestown,42.37537,-71.05962,Entire rental unit,Entire home/apt,188,131,4.96
Downtown,42.3571,-71.06175,Entire rental unit,Entire home/apt,90,8,4.63
Downtown,42.35145,-71.06461,Entire rental unit,Entire home/apt,149,47,4.3
Charlestown,42.37901,-71.06332,Entire condominium (condo),Entire home/apt,400,0,
Roxbury,42.32282,-71.08615,Private room in condominium (condo),Private room,39,11,4.73
East Boston,42.38138,-71.02312,Private room in rental unit,Private room,57,336,4.82
Downtown,42.36538,-71.05861,Private room in condominium (condo),Private room,100,0,
Charlestown,42.38035,-71.06928,Entire rental unit,Entire home/apt,90,21,4.89
Dorchester,42.3075,-71.06533,Private room in rental unit,Private room,50,38,4.79
Dorchester,42.30792,-71.06513,Private room in rental unit,Private room,50,27,4.74
Beacon Hill,42.35734,-71.07094,Entire rental unit,Entire home/apt,200,7,4.57
Dorchester,42.30754,-71.06525,Private room in rental unit,Private room,50,27,4.67
Roxbury,42.33016,-71.09527,Entire rental unit,Entire home/apt,504,116,4.9
Back Bay,42.34728,-71.07585,Entire rental unit,Entire home/apt,170,28,4.85
Fenway,42.34096,-71.09928,Entire rental unit,Entire home/apt,82,2,0
Fenway,42.35095,-71.09009,Entire rental unit,Entire home/apt,440,35,4.83
Roxbury,42.32422,-71.09616,Entire loft,Entire home/apt,120,70,4.3
East Boston,42.37808,-71.04042,Private room in condominium (condo),Private room,80,38,4.92
Dorchester,42.31947,-71.05538,Entire condominium (condo),Entire home/apt,200,31,4.74
Beacon Hill,42.35966,-71.06538,Private room in townhouse,Private room,149,168,4.77
Beacon Hill,42.36019,-71.064,Private room in townhouse,Private room,136,189,4.74
South End,42.34631,-71.07188,Entire condominium (condo),Entire home/apt,298,63,5
Dorchester,42.30427,-71.06056,Entire rental unit,Entire home/apt,231,58,4.91
East Boston,42.37833,-71.04052,Private room in condominium (condo),Private room,160,16,4.94
Dorchester,42.3077,-71.06489,Private room in rental unit,Private room,60,32,4.69
Jamaica Plain,42.32602,-71.10434,Private room in condominium (condo),Private room,45,29,4.64
South Boston,42.33927,-71.05215,Private room in rental unit,Private room,150,95,4.95
Brighton,42.33836,-71.14954,Private room in rental unit,Private room,65,11,4.82
South Boston,42.33474,-71.05545,Private room in residential home,Private room,140,131,4.72
Hyde Park,42.26724,-71.10521,Private room in residential home,Private room,80,20,4.26
Allston,42.3487,-71.13436,Entire rental unit,Entire home/apt,125,5,4.6
Mission Hill,42.33505,-71.10036,Entire rental unit,Entire home/apt,200,0,
East Boston,42.38138,-71.02312,Private room in residential home,Private room,57,217,4.76
Jamaica Plain,42.31464,-71.10295,Private room in rental unit,Private room,90,43,4.65
Brighton,42.34025,-71.14953,Private room in rental unit,Private room,65,6,5
Chinatown,42.35236,-71.05979,Private room in loft,Private room,50,63,4.65
Allston,42.36108,-71.13339,Entire residential home,Entire home/apt,280,1,5
Jamaica Plain,42.31703,-71.11655,Private room in residential home,Private room,70,47,4.89
Mattapan,42.2765,-71.07733,Private room in residential home,Private room,60,41,4.71
Roslindale,42.27975,-71.12545,Private room in residential home,Private room,109,33,4.81
North End,42.36765,-71.05496,Entire residential home,Entire home/apt,1052,104,4.92
Dorchester,42.30945,-71.06212,Entire residential home,Entire home/apt,601,41,4.66
Allston,42.34867,-71.13103,Private room in rental unit,Private room,120,5,5
Charlestown,42.37403,-71.06289,Entire townhouse,Entire home/apt,750,3,5
West Roxbury,42.264,-71.15166,Private room in residential home,Private room,90,1,5
Dorchester,42.30776,-71.04838,Room in bed and breakfast,Hotel room,75,125,4.94
Dorchester,42.30762,-71.07953,Entire rental unit,Entire home/apt,250,44,4.14
Jamaica Plain,42.30615,-71.11674,Entire guest suite,Entire home/apt,112,130,4.91
South Boston Waterfront,42.35103,-71.04041,Private room in rental unit,Private room,149,3,4.67
Fenway,42.34737,-71.1033,Entire rental unit,Entire home/apt,176,111,4.96
Fenway,42.34132,-71.08615,Entire rental unit,Entire home/apt,200,124,4.94
Roxbury,42.31618,-71.08068,Private room in condominium (condo),Private room,52,23,4.74
Downtown,42.36611,-71.05914,Private room in rental unit,Private room,65,0,
Charlestown,42.38188,-71.06486,Entire townhouse,Entire home/apt,300,14,4.85
Roxbury,42.31043,-71.09046,Private room in residential home,Private room,75,0,
Brighton,42.35948,-71.14155,Entire rental unit,Entire home/apt,513,257,4.88
Roxbury,42.32885,-71.09429,Entire rental unit,Entire home/apt,406,86,4.56
Fenway,42.35092,-71.09394,Entire rental unit,Entire home/apt,346,112,4.61
South Boston,42.33286,-71.04168,Entire rental unit,Entire home/apt,300,80,4.89
Roslindale,42.27782,-71.13332,Private room in rental unit,Private room,70,40,4.69
Back Bay,42.34614,-71.08673,Entire rental unit,Entire home/apt,165,37,4.68
Beacon Hill,42.36101,-71.06874,Entire condominium (condo),Entire home/apt,100,5,4
Hyde Park,42.27076,-71.10598,Private room in residential home,Private room,90,27,4.63
Allston,42.3595,-71.12947,Private room in rental unit,Private room,82,44,4.75
Allston,42.35958,-71.13128,Private room in guest suite,Private room,82,40,4.4
Dorchester,42.31139,-71.05494,Entire residential home,Entire home/apt,215,10,4.7
Dorchester,42.30429,-71.07436,Private room in rental unit,Private room,34,1,5
Dorchester,42.29097,-71.06516,Private room in rental unit,Private room,39,4,4.25
Bay Village,42.34971,-71.06862,Entire rental unit,Entire home/apt,274,240,4.88
Jamaica Plain,42.28808,-71.11218,Private room in condominium (condo),Private room,55,8,4.38
South Boston,42.33451,-71.02731,Entire guest suite,Entire home/apt,122,306,4.96
Fenway,42.34315,-71.0989,Entire rental unit,Entire home/apt,220,90,4.58
Allston,42.34745,-71.14036,Entire guest suite,Entire home/apt,102,230,4.52
South End,42.34406,-71.07,Entire rental unit,Entire home/apt,231,126,4.99
Downtown,42.35748,-71.06156,Entire rental unit,Entire home/apt,239,52,4.96
Back Bay,42.35243,-71.07565,Entire condominium (condo),Entire home/apt,96,0,
Fenway,42.34651,-71.0899,Entire rental unit,Entire home/apt,96,2,5
Beacon Hill,42.36048,-71.06898,Entire condominium (condo),Entire home/apt,96,1,5
Brighton,42.35123,-71.15157,Entire condominium (condo),Entire home/apt,84,0,
South Boston,42.33623,-71.05418,Entire rental unit,Entire home/apt,275,43,4.81
Allston,42.35535,-71.13634,Entire rental unit,Entire home/apt,220,5,5
Dorchester,42.29093,-71.06551,Private room in condominium (condo),Private room,45,33,4.48
Back Bay,42.34979,-71.08263,Entire rental unit,Entire home/apt,163,125,4.7
West End,42.36168,-71.06399,Entire rental unit,Entire home/apt,125,0,
East Boston,42.38092,-71.01904,Entire rental unit,Entire home/apt,196,240,4.53
Brighton,42.35532,-71.16481,Entire residential home,Entire home/apt,200,29,4.63
Roxbury,42.31977,-71.09202,Private room in townhouse,Private room,65,105,4.95
Brighton,42.34351,-71.15211,Entire residential home,Entire home/apt,198,100,4.98
Brighton,42.3559,-71.14571,Private room in residential home,Private room,48,1,0
Dorchester,42.30759,-71.06237,Private room in residential home,Private room,30,3,3.5
Dorchester,42.32241,-71.05924,Private room in rental unit,Private room,60,2,3.5
Allston,42.35863,-71.1243,Private room in residential home,Private room,70,1,5
Back Bay,42.35144,-71.08725,Entire rental unit,Entire home/apt,100,4,4.5
Mattapan,42.27415,-71.08912,Private room in residential home,Private room,55,28,4.93
West End,42.36441,-71.0686,Private room in rental unit,Private room,99,40,4.93
Allston,42.35345,-71.12856,Private room in rental unit,Private room,61,57,4.6
Allston,42.35144,-71.12878,Private room in rental unit,Private room,57,125,4.68
East Boston,42.38119,-71.02831,Private room in townhouse,Private room,200,0,
Dorchester,42.29286,-71.07486,Private room in residential home,Private room,81,208,4.82
East Boston,42.37134,-71.03276,Entire rental unit,Entire home/apt,263,206,4.67
Back Bay,42.35078,-71.08389,Entire condominium (condo),Entire home/apt,100,1,4
Dorchester,42.29121,-71.06763,Entire rental unit,Entire home/apt,109,1,5
Dorchester,42.31345,-71.05631,Entire rental unit,Entire home/apt,196,24,4.63
Dorchester,42.31345,-71.05631,Entire rental unit,Entire home/apt,196,13,4.5
Dorchester,42.31345,-71.05631,Entire rental unit,Entire home/apt,196,29,4.93
North End,42.36571,-71.05065,Entire condominium (condo),Entire home/apt,106,0,
Dorchester,42.31345,-71.05631,Entire rental unit,Entire home/apt,162,3,4.33
Dorchester,42.31345,-71.05631,Entire rental unit,Entire home/apt,94,37,4.76
Dorchester,42.31345,-71.05631,Entire rental unit,Entire home/apt,162,4,4
Dorchester,42.31345,-71.05631,Entire rental unit,Entire home/apt,97,22,4.86
Dorchester,42.31345,-71.05631,Entire rental unit,Entire home/apt,162,6,4.83
Dorchester,42.31345,-71.05631,Entire rental unit,Entire home/apt,97,21,4.76
Mission Hill,42.33164,-71.10995,Entire rental unit,Entire home/apt,90,38,4.83
Mission Hill,42.33191,-71.10906,Entire rental unit,Entire home/apt,91,44,4.82
Mission Hill,42.33185,-71.10906,Entire rental unit,Entire home/apt,98,37,4.73
Mission Hill,42.3309,-71.10923,Entire rental unit,Entire home/apt,94,31,4.52
Back Bay,42.34863,-71.08784,Entire condominium (condo),Entire home/apt,975,2,5
Charlestown,42.38356,-71.07874,Private room in rental unit,Private room,50,12,4.92
Roslindale,42.29238,-71.12244,Entire rental unit,Entire home/apt,172,113,4.88
Jamaica Plain,42.30493,-71.11555,Entire condominium (condo),Entire home/apt,110,0,
Jamaica Plain,42.30634,-71.12602,Entire residential home,Entire home/apt,170,79,4.95
South Boston Waterfront,42.3525,-71.04803,Entire rental unit,Entire home/apt,275,0,
East Boston,42.38041,-71.03189,Private room in residential home,Private room,118,445,4.89
Brighton,42.35448,-71.14723,Private room in rental unit,Private room,95,1,5
Fenway,42.34439,-71.10094,Entire place,Entire home/apt,177,2,4.5
South Boston,42.33451,-71.02731,Entire guest suite,Entire home/apt,119,286,4.98
East Boston,42.37991,-71.02148,Entire residential home,Entire home/apt,229,260,4.57
South Boston,42.33712,-71.03903,Entire residential home,Entire home/apt,192,167,4.93
East Boston,42.37855,-71.03157,Private room in residential home,Private room,118,447,4.88
East Boston,42.37874,-71.03119,Private room in residential home,Private room,114,396,4.9
East Boston,42.38038,-71.02937,Private room in residential home,Private room,114,370,4.86
Jamaica Plain,42.31094,-71.12824,Private room in guest suite,Private room,70,1,0
South End,42.33985,-71.07303,Entire rental unit,Entire home/apt,140,45,4.62
Dorchester,42.31095,-71.0637,Private room in residential home,Private room,41,9,5
Dorchester,42.31066,-71.06186,Private room in residential home,Private room,299,10,4.6
Brighton,42.35718,-71.1568,Private room in residential home,Private room,55,1,5
South End,42.34337,-71.07944,Entire rental unit,Entire home/apt,200,4,4
South End,42.34233,-71.07922,Entire rental unit,Entire home/apt,200,0,
South End,42.34178,-71.07815,Entire rental unit,Entire home/apt,200,4,5
Roslindale,42.28497,-71.13567,Private room in townhouse,Private room,68,27,5
Brighton,42.34245,-71.1489,Private room in condominium (condo),Private room,55,0,
South End,42.34218,-71.07716,Entire rental unit,Entire home/apt,406,243,4.81
Dorchester,42.31938,-71.05625,Entire residential home,Entire home/apt,397,107,4.81
Dorchester,42.30938,-71.06221,Private room in residential home,Private room,299,8,4.75
Brighton,42.35972,-71.1417,Entire guest suite,Entire home/apt,294,228,4.74
Allston,42.34881,-71.13343,Entire condominium (condo),Entire home/apt,110,1,5
Jamaica Plain,42.30452,-71.11782,Private room in condominium (condo),Private room,80,6,5
Mattapan,42.2712,-71.10248,Private room in residential home,Private room,40,0,
Brighton,42.35971,-71.14282,Entire guest suite,Entire home/apt,180,250,4.77
Fenway,42.34494,-71.08928,Entire rental unit,Entire home/apt,230,45,4.51
Back Bay,42.34425,-71.08563,Entire rental unit,Entire home/apt,800,40,4.8
Brighton,42.34173,-71.148,Shared room in rental unit,Shared room,75,0,
Back Bay,42.34628,-71.08664,Entire rental unit,Entire home/apt,250,18,4.39
Fenway,42.34437,-71.08669,Entire rental unit,Entire home/apt,112,19,4.68
Mattapan,42.2715,-71.10235,Private room in residential home,Private room,41,1,1
Mattapan,42.27128,-71.10317,Private room in residential home,Private room,41,1,5
South Boston Waterfront,42.34329,-71.05481,Entire rental unit,Entire home/apt,70,1,5
Jamaica Plain,42.31734,-71.11375,Entire condominium (condo),Entire home/apt,117,2,5
Charlestown,42.37327,-71.05859,Entire residential home,Entire home/apt,350,30,5
Downtown,42.36642,-71.06646,Private room in condominium (condo),Private room,99,35,4.74
Longwood Medical Area,42.33837,-71.10728,Entire rental unit,Entire home/apt,114,26,4.85
Mattapan,42.26952,-71.10182,Entire residential home,Entire home/apt,225,43,4.64
Dorchester,42.2972,-71.06197,Entire rental unit,Entire home/apt,280,0,
Back Bay,42.34597,-71.08426,Entire rental unit,Entire home/apt,139,27,4.62
North End,42.36525,-71.05702,Entire condominium (condo),Entire home/apt,200,4,5
Roxbury,42.31793,-71.09182,Private room in rental unit,Private room,37,10,5
Beacon Hill,42.3602,-71.064,Private room in townhouse,Private room,183,14,4.64
Back Bay,42.34942,-71.08831,Entire condominium (condo),Entire home/apt,106,0,
Fenway,42.34828,-71.09281,Entire rental unit,Entire home/apt,150,4,5
North End,42.36551,-71.05513,Entire rental unit,Entire home/apt,295,137,4.97
East Boston,42.38856,-71.00168,Private room in rental unit,Private room,50,1,5
Longwood Medical Area,42.33946,-71.10767,Private room in rental unit,Private room,60,14,5
Dorchester,42.28033,-71.07861,Entire rental unit,Entire home/apt,299,23,4.43
Dorchester,42.27874,-71.07717,Entire rental unit,Entire home/apt,149,84,4.5
West End,42.36534,-71.06733,Entire rental unit,Entire home/apt,340,8,5
Chinatown,42.35148,-71.06196,Entire rental unit,Entire home/apt,353,22,4.67
Chinatown,42.35146,-71.0613,Entire rental unit,Entire home/apt,362,1,5
Chinatown,42.3511,-71.06152,Entire rental unit,Entire home/apt,353,22,4.77
West End,42.36362,-71.07038,Entire rental unit,Entire home/apt,217,9,4.89
Chinatown,42.35115,-71.05987,Entire rental unit,Entire home/apt,415,28,4.64
Chinatown,42.35116,-71.06002,Entire rental unit,Entire home/apt,415,36,4.44
South End,42.342,-71.07939,Entire rental unit,Entire home/apt,199,9,4.44
South End,42.34229,-71.07777,Entire rental unit,Entire home/apt,229,14,4.23
South End,42.34199,-71.07824,Entire rental unit,Entire home/apt,149,23,4.43
Allston,42.35094,-71.12928,Entire rental unit,Entire home/apt,70,1,5
Downtown,42.35321,-71.06176,Entire rental unit,Entire home/apt,545,42,4.5
Chinatown,42.35134,-71.06152,Entire rental unit,Entire home/apt,393,2,4.5
Roxbury,42.33031,-71.09377,Entire condominium (condo),Entire home/apt,112,51,4.88
West End,42.36347,-71.0699,Entire rental unit,Entire home/apt,356,7,5
Roxbury,42.31745,-71.09222,Private room in rental unit,Private room,33,11,4.91
Downtown,42.35341,-71.06176,Entire rental unit,Entire home/apt,393,1,5
Downtown,42.35304,-71.05969,Entire rental unit,Entire home/apt,393,1,4
Chinatown,42.35108,-71.06043,Entire rental unit,Entire home/apt,402,0,
Downtown,42.35331,-71.06195,Entire rental unit,Entire home/apt,402,2,4.5
Downtown,42.35298,-71.06163,Entire rental unit,Entire home/apt,393,1,5
Fenway,42.34474,-71.10118,Entire rental unit,Entire home/apt,333,26,4.85
Fenway,42.34687,-71.10553,Entire rental unit,Entire home/apt,98,2,5
Jamaica Plain,42.31498,-71.10064,Private room in rental unit,Private room,50,59,4.71
Fenway,42.34397,-71.10107,Entire rental unit,Entire home/apt,934,50,4.73
Fenway,42.34416,-71.10085,Entire rental unit,Entire home/apt,1018,41,4.76
East Boston,42.3814,-71.03251,Private room in rental unit,Private room,30,4,5
Fenway,42.34284,-71.1023,Entire rental unit,Entire home/apt,597,72,4.85
Fenway,42.34459,-71.10266,Entire rental unit,Entire home/apt,1235,78,4.85
North End,42.36624,-71.05741,Entire rental unit,Entire home/apt,160,10,4.9
Downtown,42.3611,-71.06191,Private room in condominium (condo),Private room,50,89,4.84
Fenway,42.34259,-71.10101,Entire rental unit,Entire home/apt,529,72,4.65
Brighton,42.35618,-71.15855,Private room in residential home,Private room,50,4,5
Mission Hill,42.33106,-71.0957,Entire rental unit,Entire home/apt,300,135,4.62
Charlestown,42.37926,-71.06328,Entire residential home,Entire home/apt,375,1,5
Downtown,42.35223,-71.06427,Entire rental unit,Entire home/apt,222,5,4.8
South Boston,42.34059,-71.05575,Private room in condominium (condo),Private room,109,66,4.98
Dorchester,42.29555,-71.06947,Entire rental unit,Entire home/apt,127,23,4.87
Back Bay,42.34482,-71.08629,Entire rental unit,Entire home/apt,353,14,5
Back Bay,42.34467,-71.08401,Entire rental unit,Entire home/apt,325,14,4.86
West End,42.36456,-71.06923,Entire rental unit,Entire home/apt,341,9,4.89
Dorchester,42.27955,-71.05389,Entire rental unit,Entire home/apt,110,77,4.91
Dorchester,42.31602,-71.05477,Private room in rental unit,Private room,30,1,5
Dorchester,42.29787,-71.06523,Private room in rental unit,Private room,55,14,4.71
East Boston,42.3654,-71.03949,Entire rental unit,Entire home/apt,199,1,5
West Roxbury,42.28996,-71.1459,Entire guesthouse,Entire home/apt,200,127,4.99
Dorchester,42.30049,-71.0779,Private room in residential home,Private room,65,21,4.65
Downtown,42.35317,-71.05421,Entire rental unit,Entire home/apt,225,9,4.89
West End,42.36563,-71.06834,Entire rental unit,Entire home/apt,240,9,4.89
Roxbury,42.31611,-71.0921,Private room in rental unit,Private room,33,11,5
Charlestown,42.37648,-71.06444,Entire condominium (condo),Entire home/apt,253,35,4.97
West End,42.36393,-71.069,Entire rental unit,Entire home/apt,226,14,4.93
South End,42.33935,-71.07489,Entire rental unit,Entire home/apt,90,86,4.56
Dorchester,42.29933,-71.06355,Entire rental unit,Entire home/apt,140,8,4.8
Dorchester,42.28787,-71.06662,Private room in rental unit,Private room,40,0,
East Boston,42.37856,-71.02689,Entire rental unit,Entire home/apt,126,145,4.19
